epoch,AP_iguana,loss,lr,mAP,validation_loss
1,nan,80.59896,3.5299997e-06,nan,nan
2,nan,62.634827,6.8599998e-06,nan,nan
3,nan,55.003464,1.019e-05,nan,nan
4,nan,51.50698,1.3519999e-05,nan,nan
5,nan,48.66613,1.685e-05,nan,nan
6,nan,47.207905,2.018e-05,nan,nan
7,nan,45.27513,2.3509998e-05,nan,nan
8,nan,43.443817,2.6839998e-05,nan,nan
9,nan,42.094147,3.0169998e-05,nan,nan
10,0.6779175983070057,40.36996,3.3499997e-05,0.6779175983070057,20.547915549505326
11,nan,38.83259,3.683e-05,nan,nan
12,nan,37.296646,4.0159997e-05,nan,nan
13,nan,36.343307,4.3489996e-05,nan,nan
14,nan,35.00261,4.6819998e-05,nan,nan
15,nan,33.959686,5.0149996e-05,nan,nan
16,nan,33.018906,5.348e-05,nan,nan
17,nan,31.927032,5.6809997e-05,nan,nan
18,nan,31.033705,6.0139995e-05,nan,nan
19,nan,30.121817,6.347e-05,nan,nan
20,0.7105211554677268,29.73738,6.679999e-05,0.7105211554677268,12.14303896162245
21,nan,29.229332,7.0129994e-05,nan,nan
22,nan,28.103943,7.3459996e-05,nan,nan
23,nan,27.841423,7.679e-05,nan,nan
24,nan,27.343529,8.011999e-05,nan,nan
25,nan,26.696224,8.3449995e-05,nan,nan
26,nan,26.652494,8.678e-05,nan,nan
27,nan,25.757023,9.010999e-05,nan,nan
28,nan,25.810013,9.3439994e-05,nan,nan
29,nan,25.18528,9.6769996e-05,nan,nan
30,0.7007249685604143,24.969215,0.00010009999,0.7007249685604143,9.553754549177865
31,nan,24.543095,0.00010342999,nan,nan
32,nan,24.5523,0.000106759995,nan,nan
33,nan,23.987421,0.00011008999,nan,nan
34,nan,23.740833,0.00011341999,nan,nan
35,nan,23.78029,0.000116749994,nan,nan
36,nan,23.098883,0.00012007999,nan,nan
37,nan,22.86444,0.00012340999,nan,nan
38,nan,22.703602,0.00012674,nan,nan
39,nan,22.650513,0.00013007,nan,nan
40,0.7338896349554738,22.49374,0.0001334,0.7338896349554738,8.292223786550855
41,nan,22.546442,0.00013672998,nan,nan
42,nan,21.986887,0.00014005999,nan,nan
43,nan,21.955631,0.00014338999,nan,nan
44,nan,21.54071,0.00014671999,nan,nan
