epoch,AP_iguana,loss,lr,mAP,validation_loss
1,nan,21306.363,8.524999e-06,nan,nan
2,nan,20115.514,1.685e-05,nan,nan
3,nan,17639.049,2.5174999e-05,nan,nan
4,nan,15325.087,3.3499997e-05,nan,nan
5,nan,12965.195,4.1825e-05,nan,nan
6,nan,11065.699,5.0149996e-05,nan,nan
7,nan,9917.884,5.8474998e-05,nan,nan
8,nan,9046.48,6.679999e-05,nan,nan
9,nan,8247.555,7.5125e-05,nan,nan
10,7.456565505927969e-05,7474.908,8.3449995e-05,7.456565505927969e-05,7705.270848834325
11,nan,6734.941,9.177499e-05,nan,nan
12,nan,6028.084,0.00010009999,nan,nan
13,nan,5353.344,0.000108424996,nan,nan
14,nan,4741.13,0.000116749994,nan,nan
15,nan,4150.8994,0.00012507499,nan,nan
16,nan,3615.033,0.0001334,nan,nan
17,nan,3133.612,0.00014172499,nan,nan
18,nan,2713.6133,0.00015005,nan,nan
19,nan,2348.2026,0.00015837498,nan,nan
20,0.006818076012989589,2017.1371,0.00016669999,0.006818076012989589,1810.6109115358383
21,nan,1736.1311,0.000175025,nan,nan
22,nan,1500.2764,0.00018334998,nan,nan
23,nan,1271.8401,0.00019167499,nan,nan
24,nan,1094.674,0.00019999998,nan,nan
25,nan,944.36774,0.00019992297,nan,nan
26,nan,823.63086,0.00019969203,nan,nan
27,nan,723.53467,0.00019930753,nan,nan
28,nan,638.83923,0.00019877007,nan,nan
29,nan,568.83527,0.00019808045,nan,nan
30,0.3028848712391534,508.11157,0.00019723974,0.3028848712391534,471.29615275065106
31,nan,456.84198,0.00019624927,nan,nan
32,nan,413.17682,0.00019511054,nan,nan
33,nan,374.59622,0.00019382531,nan,nan
34,nan,341.33698,0.00019239556,nan,nan
35,nan,312.3515,0.0001908235,nan,nan
36,nan,287.04184,0.00018911155,nan,nan
37,nan,264.5562,0.00018726235,nan,nan
38,nan,244.91345,0.00018527875,nan,nan
39,nan,227.16428,0.00018316381,nan,nan
40,0.40064980352436774,211.7048,0.00018092079,0.40064980352436774,186.50079224601623
41,nan,197.68488,0.00017855316,nan,nan
42,nan,185.26602,0.00017606455,nan,nan
43,nan,173.89551,0.00017345881,nan,nan
44,nan,163.75888,0.00017073996,nan,nan
45,nan,154.7634,0.00016791219,nan,nan
46,nan,146.28683,0.00016497987,nan,nan
47,nan,139.15291,0.00016194748,nan,nan
48,nan,132.06882,0.00015881975,nan,nan
49,nan,125.57756,0.00015560146,nan,nan
50,0.46665447824445466,119.35112,0.00015229761,0.46665447824445466,99.05285232786149
51,nan,113.52138,0.00014891326,nan,nan
52,nan,108.3337,0.00014545365,nan,nan
53,nan,103.38127,0.0001419241,nan,nan
54,nan,98.41265,0.00013833007,nan,nan
55,nan,94.6255,0.00013467709,nan,nan
56,nan,90.730545,0.0001309708,nan,nan
57,nan,87.21517,0.0001272169,nan,nan
58,nan,83.522064,0.0001234212,nan,nan
59,nan,80.602325,0.000119589524,nan,nan
60,0.5590329771802479,77.67369,0.0001157278,0.5590329771802479,61.83064415341332
61,nan,75.07362,0.00011184199,nan,nan
62,nan,72.25213,0.00010793807,nan,nan
63,nan,69.937355,0.00010402206,nan,nan
64,nan,67.55988,0.0001001,nan,nan
65,nan,65.69167,9.6177944e-05,nan,nan
66,nan,63.55648,9.226194e-05,nan,nan
67,nan,61.68936,8.8358014e-05,nan,nan
68,nan,59.826126,8.44722e-05,nan,nan
69,nan,58.51055,8.061048e-05,nan,nan
70,0.5831914713011175,56.75376,7.677881e-05,0.5831914713011175,45.83727191743397
71,nan,55.698677,7.29831e-05,nan,nan
72,nan,54.235203,6.92292e-05,nan,nan
73,nan,53.483803,6.552291e-05,nan,nan
74,nan,51.73741,6.186993e-05,nan,nan
75,nan,51.327656,5.8275895e-05,nan,nan
76,nan,50.396805,5.474635e-05,nan,nan
77,nan,49.52173,5.128674e-05,nan,nan
78,nan,48.44938,4.7902395e-05,nan,nan
79,nan,47.81695,4.4598535e-05,nan,nan
80,0.6076371537122657,46.956963,4.1380255e-05,0.6076371537122657,36.54358727591379
